subject,subject_type,predicate,object,object_type,injury_context,sentence,source_url
Virgil van Dijk,PERSON,playsFor,Liverpool FC,ORG,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk,PERSON,represents,Netherlands,GPE,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk,PERSON,suffersInjury,Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,injuryType,ACLRupture,INJURY_TYPE,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,affectsBodyPart,knee,BODY_PART,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,occuredDuring,Premier League,COMPETITION,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,injuryDate,2020-10-17,DATE,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,recoveryDays,285,NUMBER,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Virgil van Dijk Anterior cruciate ligament rupture 2020-21,INJURY,gamesAbsent,45,NUMBER,True,"Virgil van Dijk is a professional football player who represented Netherlands and played for Liverpool FC during the 2020-21 season. During the Premier League, Virgil van Dijk suffered an Anterior cruciate ligament rupture that affected the knee. The",https://en.wikipedia.org/wiki/Virgil_van_Dijk
Kevin De Bruyne,PERSON,playsFor,Manchester City FC,ORG,True,"Kevin De Bruyne is a professional football player who represented Belgium and played for Manchester City FC during the 2023-24 season. During the Premier League, Kevin De Bruyne suffered an Hamstring strain that affected the hamstring. The injury was",https://en.wikipedia.org/wiki/Kevin_De_Bruyne
